Wavelength	Loss
nm	dB/m
	Bi227(K)(SM)
1226,1	0,68678
1226,8	0,68977
1227,5	0,69134
1228,2	0,69225
1228,9	0,69524
1229,6	0,69763
1230,3	0,69942
1231	0,70119
1231,7	0,70295
1232,4	0,70561
1233,1	0,70787
1233,8	0,70863
1234,5	0,71128
1235,2	0,71327
1235,9	0,7188
1236,6	0,72033
1237,3	0,72169
1238	0,72635
1238,7	0,72691
1239,4	0,73122
1240,1	0,73426
1240,8	0,7373
1241,5	0,74083
1242,2	0,74364
1242,9	0,74693
1243,6	0,74984
1244,3	0,75363
1245	0,75577
1245,7	0,75963
1246,4	0,76229
1247,1	0,76563
1247,8	0,76977
1248,5	0,77354
1249,2	0,7765
1249,9	0,78315
1250,6	0,78601
1251,3	0,78871
1252	0,79127
1252,7	0,79728
1253,4	0,80046
1254,1	0,80167
1254,8	0,8072
1255,5	0,8108
1256,2	0,81621
1256,9	0,81931
1257,6	0,82372
1258,3	0,82834
1259	0,83267
1259,7	0,83753
1260,4	0,84131
1261,1	0,84698
1261,8	0,85215
1262,5	0,85799
1263,2	0,86025
1263,9	0,86483
1264,6	0,86976
1265,3	0,87629
1266	0,88165
1266,7	0,88647
1267,4	0,89307
1268,1	0,89584
1268,8	0,90082
1269,5	0,90679
1270,2	0,91343
1270,9	0,91908
1271,6	0,92405
1272,3	0,93063
1273	0,93679
1273,7	0,94314
1274,4	0,94926
1275,1	0,95703
1275,8	0,96021
1276,5	0,96705
1277,2	0,9721
1277,9	0,98125
1278,6	0,98942
1279,3	0,99605
1280	0,99908
1280,7	1,00606
1281,4	1,01279
1282,1	1,0219
1282,8	1,03071
1283,5	1,03583
1284,2	1,04396
1284,9	1,05107
1285,6	1,05759
1286,3	1,06397
1287	1,07381
1287,7	1,08095
1288,4	1,08961
1289,1	1,09751
1289,8	1,10576
1290,5	1,11465
1291,2	1,12127
1291,9	1,1303
1292,6	1,13713
1293,3	1,14741
1294	1,15548
1294,7	1,16405
1295,4	1,17376
1296,1	1,18078
1296,8	1,19118
1297,5	1,20188
1298,2	1,20583
1298,9	1,21865
1299,6	1,22535
1300,3	1,23775
1301	1,24478
1301,7	1,25279
1302,4	1,26444
1303,1	1,27345
1303,8	1,28271
1304,5	1,29588
1305,2	1,30561
1305,9	1,31155
1306,6	1,32273
1307,3	1,33345
1308	1,34181
1308,7	1,35327
1309,4	1,36167
1310,1	1,37307
1310,8	1,38568
1311,5	1,39542
1312,2	1,40742
1312,9	1,41723
1313,6	1,42767
1314,3	1,43739
1315	1,45022
